店舗ID,店舗名,棚数
20104,北42条店,100
20108,釧路木場店,100
20138,仙台一番町店,100
20212,宇都宮御幸ヶ原店,100
20239,鶴ヶ島インター店,100
20251,川口東口駅前店,100
20264,佐倉志津店,100
20320,大森駅前店,100
20370,新津程島店,100
20386,上田産業道路店,100
20387,諏訪赤沼店,100
20421,福井米松店,100
20455,春日井インター店,100
20499,藤枝店,100
20624,岡山大安寺店,100
20846,熊本田崎店,100
20228,新前橋店,99
20266,16号千葉北店,99
20365,新潟桜木インター店,99
20565,姫路駅前店,99
20665,高松中央通り店,99
20256,志木南口駅前店,98
20334,磯子駅前店,98
20927,川口朝日店,98
20335,藤沢六会店,97
20362,上越市役所前店,97
20479,四日市追分店,97
20489,蒲郡店,97
20715,近鉄八尾駅前店,97
20811,福岡行橋店,97
20953,千葉都賀店,97
20317,八王子本店,96
20822,鳥栖店,96
20851,別府店,96
20923,狭山入間川店,96
20403,高岡戸出店,95
20404,魚津店,95
20817,八幡穴生店,95
20891,三原店,95
20534,1号枚方店,93
20162,郡山桑野店,92
20296,那珂店,92
20343,相模大野駅前店,92
20361,長岡蓮潟店,92
20591,26号和泉店,92
20601,米子店,92
20171,札幌清田店,91
20324,東久留米滝山店,91
20389,長野昭和通り店,91
20574,24号奈良店,91
20596,長居駅前店,91
20611,松江店,91
20666,丸亀店,91
20874,アクロスプラザ与次郎店,91
20109,札幌西岡店,90
20191,大河原店,90
20291,日立店,90
20295,つくば稲荷前店,90
20405,高岡店,90
20566,国道2号西宮店,90
20922,川越クレアモール店,90
20145,横手店,89
20223,50号笠懸店,89
20480,松阪店,89
20560,姫路飾磨店,89
20832,長崎空港通り店,89
20102,厚別東店,88
20169,いわき平店,88
20231,せんげん台駅東口店,88
20258,新座駅前店,88
20449,島田店,88
20472,23号津南店,88
20561,伊丹昆陽店,88
20625,倉敷児島店,88
20651,徳島大学前店,88
20110,札幌環状通東店,87
20124,花巻店,87
20176,旭川大町店,87
20216,宇都宮横田店,87
20444,浜松都盛店,87
20457,長久手グリーンロード店,87
20483,豊橋新栄店,87
20819,久留米上津バイパス店,87
20892,東広島西条2号店,87
20140,多賀城店,86
20250,戸田店,86
20490,千音寺店,86
20514,新堀川店,86
20535,堺百舌鳥店,86
20597,阪急三国駅前店,86
20775,豊橋向山店,86
20820,小倉西港店,86
20872,鹿児島天文館店,86
20208,水戸笠原店,85
20392,橋本店,85
20423,福井駅前店,85
20432,岐阜穂積店,85
20487,名古屋楠インター店,85
20671,愛媛重信店,85
20691,四日市野田店,85
20163,会津若松店,84
20175,函館昭和店,84
20206,ひたちなか店,84
20227,17号高崎倉賀野店,84
20240,大宮三橋店,84
20305,八王子大和田店,84
20633,福山東深津店,84
20652,徳島蔵本店,84
20114,八戸沼館店,83
20226,館林松原店,83
20290,松戸駅西口店,83
20332,横浜北山田店,83
20482,西尾店,83
20484,名古屋競馬場前店,83
20802,小倉北店,83
20881,沖縄コザ店,83
20929,所沢小手指店,83
20205,土浦真鍋店,82
20215,50号足利店,82
20237,東川口店,82
20401,富山掛尾店,82
20402,富山荒川店,82
20443,富士青葉店,82
20460,一宮インター店,82
20641,防府店,82
20643,山口大内店,82
20645,山口吉敷店,82
20681,高知中万々店,82
20844,熊本東バイパス店,82
20852,大分森町店,82
20107,札幌駅南口店,81
20451,西春店,81
20452,153号天白植田店,81
20469,岡崎大樹寺店,81
20553,姫路北条店,81
20713,岸和田今木店,81
20804,板付店,81
20862,都城店,81
20926,ビバモール加須店,81
20210,筑西店,80
20233,407号東松山店,80
20358,本厚木駅前店,80
20366,新潟赤道店,80
20369,新潟寺尾店,80
20497,三島店,80
20504,栗東店,80
20521,宇治槇島店,80
20612,出雲店,80
20637,五日市駅前店,80
